# parameters
version_bit_string:13816762181795971082,seed:5489,burn_in:100000,num_iter:1000000,stats_thin:1000,block_penalty:50,prior_rate_mean:1,window_size:50,partition_length:4001,overlap_length:200,pade_resolution:10,pade_max:1000,max_lk_start:0.001,max_lk_resolution:0.001,num_snps:5916,num_snp_partitions:1,num_samps:1000
#left_snp right_snp mean p0.025 p0.500 p0.975
262 379 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
379 385 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
385 504 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
504 534 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
534 535 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
535 554 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
554 601 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
601 614 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
614 624 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
624 630 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
630 636 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
636 654 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
654 663 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
663 726 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
726 744 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
744 745 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
745 756 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
756 769 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
769 802 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
802 865 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
865 889 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
889 919 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
919 931 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
931 982 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
982 1028 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
1028 1122 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
1122 1188 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
1188 1319 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
1319 1342 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
1342 1387 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
1387 1402 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
1402 1447 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
1447 1485 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
1485 1487 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
1487 1515 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
1515 1535 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
1535 1681 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
1681 1956 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
1956 1960 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
1960 1968 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
1968 1971 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
1971 1975 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
1975 1982 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
1982 2005 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
2005 2066 4.3980e-05 1.8192e-06 4.9667e-05 1.1170e-04
