# parameters
version_bit_string:13816762181795971082,seed:5489,burn_in:100000,num_iter:1000000,stats_thin:1000,block_penalty:50,prior_rate_mean:1,window_size:50,partition_length:4001,overlap_length:200,pade_resolution:10,pade_max:1000,max_lk_start:0.001,max_lk_resolution:0.001,num_snps:12874,num_snp_partitions:3,num_samps:1000
# left_snp right_snp mean p0.025 p0.500 p0.975
3 24 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
24 84 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
84 129 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
129 151 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
151 186 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
186 188 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
188 191 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
191 194 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
194 255 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
255 285 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
285 286 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
286 289 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
289 298 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
298 300 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
300 303 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
303 305 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
305 307 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
307 309 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
309 311 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
311 313 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
313 315 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
315 319 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
319 321 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
321 323 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
323 325 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
325 327 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
327 331 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
331 333 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
333 335 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
335 337 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
337 339 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
339 340 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
340 379 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
379 385 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
385 495 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
495 504 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
504 534 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
534 535 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
535 554 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
554 601 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
601 608 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
608 612 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
612 614 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
614 624 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
624 630 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
630 636 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
636 654 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
654 663 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
