start end zns site_count
331000 332000 0.5512566666666666 4
332000 333000 0 0
333000 334000 0 0
334000 335000 0 0
335000 336000 0 0
336000 337000 0 0
337000 338000 0 0
338000 339000 0 0
339000 340000 0 0
340000 341000 0 0
341000 342000 0 0
342000 343000 0 0
343000 344000 0 0
344000 345000 0 0
345000 346000 0 0
346000 347000 0 0
347000 348000 0 0
348000 349000 0 0
349000 350000 0 0
350000 351000 0 0
351000 352000 0 0
352000 353000 0 0
353000 354000 0 0
354000 355000 0 0
355000 356000 0 0
356000 357000 0 0
357000 358000 0 0
358000 359000 0 0
359000 360000 0 0
360000 361000 0 0
361000 362000 0 0
362000 363000 0 0
363000 364000 0 0
364000 365000 0 0
365000 366000 0 0
366000 367000 0 0
367000 368000 0 0
368000 369000 0 0
369000 370000 0 0
370000 371000 0 0
371000 372000 0 0
372000 373000 0 0
373000 374000 0 0
374000 375000 0 0
375000 376000 0 0
376000 377000 0 0
377000 378000 0 0
378000 379000 0 0
379000 380000 0 0
380000 381000 0 0
381000 382000 0 0
382000 383000 0 0
383000 384000 0 0
384000 385000 0 0
385000 386000 0 0
386000 387000 0 0
387000 388000 0 0
388000 389000 0 0
389000 390000 0 0
390000 391000 0 0
391000 392000 0 0
392000 393000 0 0
393000 394000 0 0
394000 395000 0 0
395000 396000 0 0
396000 397000 0 0
397000 398000 0 0
398000 399000 0 0
399000 400000 0 0
400000 401000 0 0
401000 402000 0 0
402000 403000 0 0
403000 404000 0 0
404000 405000 0 0
405000 406000 0 0
406000 407000 0 0
407000 408000 0 0
408000 409000 0 0
409000 410000 0 0
410000 411000 0 0
411000 412000 0 0
412000 413000 0 0
413000 414000 0 0
414000 415000 0 0
415000 416000 0 0
416000 417000 0 0
417000 418000 0 0
418000 419000 0 0
419000 420000 0 0
420000 421000 0 0
421000 422000 0 0
422000 423000 0 0
423000 424000 0 0
424000 425000 0.1225 2
425000 426000 0.19132666666666667 4
426000 427000 0.26222378787878786 12
427000 428000 0.5187066666666666 3
428000 429000 0.37604272727272725 12
429000 430000 1.0 3
430000 431000 0 0
431000 432000 0 0
432000 433000 0 0
433000 434000 0 0
434000 435000 0 0
435000 436000 0 0
436000 437000 0 0
437000 438000 0 0
438000 439000 0 0
439000 440000 0 0
440000 441000 0 0
441000 442000 0 0
442000 443000 0 0
443000 444000 0 0
444000 445000 0 0
445000 446000 0 0
446000 447000 0 0
447000 448000 1.0 2
448000 449000 1.0 4
449000 450000 0 0
450000 451000 0 0
451000 452000 0 0
452000 453000 0 0
453000 454000 0 0
454000 455000 0 0
455000 456000 0 0
456000 457000 0 0
457000 458000 0 0
458000 459000 0.6944433333333333 4
459000 460000 0 0
460000 461000 0 0
461000 462000 0 0
462000 463000 0 0
463000 464000 0 0
464000 465000 0 0
465000 466000 0.45635000000000003 4
466000 467000 0 0
467000 468000 0 0
468000 469000 0 0
469000 470000 0 0
470000 471000 0 0
471000 472000 0 0
472000 473000 0 0
473000 474000 0 0
474000 475000 0 0
475000 476000 0 0
476000 477000 1.0 2
477000 478000 0.11111 2
478000 479000 0 0
479000 480000 0 0
480000 481000 0 0
481000 482000 0 0
482000 483000 0 0
483000 484000 0 0
484000 485000 0 0
485000 486000 0 0
486000 487000 0 0
487000 488000 0.44081466666666663 6
488000 489000 0 0
489000 490000 1.0 4
490000 491000 0.632652 5
491000 492000 0 0
492000 493000 0 0
493000 494000 0 0
494000 495000 0 0
495000 496000 0 0
496000 497000 0 0
497000 498000 1.0 2
498000 499000 0 0
499000 500000 1.0 5
500000 501000 1.0 2
501000 502000 1.0 7
502000 503000 1.0 2
503000 504000 1.0 5
504000 505000 0.23396618181818174 11
505000 506000 0.45389933333333343 6
506000 507000 0 0
507000 508000 0 0
508000 509000 0.08163 2
509000 510000 0.14286 2
510000 511000 0.370917 5
511000 512000 0 0
512000 513000 0.11111 2
513000 514000 1.0 4
514000 515000 0 0
515000 516000 0.25 2
516000 517000 1.0 7
517000 518000 0 0
518000 519000 0 0
519000 520000 0 0
520000 521000 0.7671973333333333 6
521000 522000 0.2392509523809524 7
522000 523000 0.26132200000000005 6
523000 524000 1.0 2
524000 525000 0 0
525000 526000 0.08163 2
526000 527000 0.14286 2
527000 528000 1.0 5
528000 529000 0 0
529000 530000 0 0
530000 531000 0 0
531000 532000 0 0
532000 533000 0 0
533000 534000 0 0
534000 535000 0 0
535000 536000 0.471598 5
536000 537000 0.24942999999999999 3
537000 538000 0 0
538000 539000 0.25 2
539000 540000 0 0
540000 541000 0.601428 5
541000 542000 0.2 2
542000 543000 1.0 2
543000 544000 0 0
544000 545000 0 0
545000 546000 0 0
546000 547000 1.0 2
547000 548000 1.0 2
548000 549000 0.08163 2
549000 550000 0.6424914285714286 8
550000 551000 0.08163 2
551000 552000 0.37551 5
552000 553000 0 0
553000 554000 0.44444 2
554000 555000 0.5102026666666667 6
555000 556000 0.5733333333333333 3
556000 557000 0.12755 2
557000 558000 1.0 2
558000 559000 1.0 2
559000 560000 0.3877533333333334 3
560000 561000 0.10203999999999998 3
561000 562000 0 0
562000 563000 0 0
563000 564000 1.0 3
564000 565000 0 0
565000 566000 0 0
566000 567000 0 0
567000 568000 0.57143 2
568000 569000 0 0
569000 570000 0 0
570000 571000 0.5333349999999999 4
571000 572000 0.40499799999999997 5
572000 573000 0 0
573000 574000 0 0
574000 575000 0.17036999999999997 3
575000 576000 0.165663 5
576000 577000 0 0
577000 578000 0 0
578000 579000 0 0
579000 580000 0 0
580000 581000 0 0
581000 582000 0 0
582000 583000 0 0
583000 584000 0 0
584000 585000 0 0
585000 586000 0 0
586000 587000 0 0
587000 588000 0 0
588000 589000 0 0
589000 590000 0 0
590000 591000 0 0
591000 592000 0 0
592000 593000 0 0
593000 594000 0 0
594000 595000 1.0 2
595000 596000 0.41239666666666663 4
596000 597000 0.14286 2
597000 598000 0.787962 6
598000 599000 0 0
599000 600000 0 0
600000 601000 1.0 3
601000 602000 0 0
602000 603000 0 0
603000 604000 0 0
604000 605000 0 0
605000 606000 0 0
606000 607000 0 0
607000 608000 0 0
608000 609000 0 0
609000 610000 0 0
610000 611000 0 0
611000 612000 0 0
612000 613000 0 0
613000 614000 0 0
614000 615000 0 0
615000 616000 0 0
616000 617000 0 0
617000 618000 0 0
618000 619000 0 0
619000 620000 0 0
620000 621000 0 0
621000 622000 0 0
622000 623000 0 0
623000 624000 0 0
624000 625000 0 0
625000 626000 0 0
626000 627000 0 0
627000 628000 0 0
628000 629000 0 0
629000 630000 0 0
630000 631000 0 0
631000 632000 0 0
632000 633000 0 0
633000 634000 0 0
634000 635000 0 0
635000 636000 0 0
636000 637000 0 0
637000 638000 0 0
638000 639000 0 0
639000 640000 0 0
