# parameters
version_bit_string:13816762181795971082,seed:5489,burn_in:100000,num_iter:1000000,stats_thin:1000,block_penalty:50,prior_rate_mean:1,window_size:50,partition_length:4001,overlap_length:200,pade_resolution:10,pade_max:1000,max_lk_start:0.001,max_lk_resolution:0.001,num_snps:4343,num_snp_partitions:1,num_samps:1000
#left_snp right_snp mean p0.025 p0.500 p0.975
3 24 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
24 84 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
84 129 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
129 151 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
151 186 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
186 188 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
188 191 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
191 194 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
194 255 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
255 495 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
495 535 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
535 554 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
554 608 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
608 612 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
612 654 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
654 678 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
678 698 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
698 726 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
726 728 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
728 745 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
745 769 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
769 796 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
796 865 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
865 889 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
889 919 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
919 931 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
931 982 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
982 991 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
991 1127 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
1127 1135 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
1135 1186 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
1186 1259 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
1259 1263 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
1263 1269 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
1269 1310 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
1310 1336 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
1336 1344 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
1344 1381 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
1381 1388 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
1388 1396 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
1396 1401 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
1401 1404 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
1404 1442 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
1442 1495 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
1495 1521 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
1521 1625 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
1625 1703 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
1703 1936 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
1936 1961 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
1961 1965 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
1965 2064 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
2064 2276 5.8602e-05 5.7168e-05 5.8058e-05 6.2026e-05
